PAC,Gene,Description,Family,Number of Interactions,Rank of Druggabilty,Druggability Percentile,Rank Druggability for Other Therapeutic Areas,Druggability for Other Therapeutic Areas Percentile,Rank Druggability for Cancer,Druggability for Cancer Percentile,Rank Cancer-Associated,Cancer-Associated Percentile,Is this gene a drug target?,Is this gene a target of other therapeutics?,Is this gene a target of cancer therapeutics?,Is this gene associated with cancer?,Is this gene in the CGC?,Maximum Druggability percentile
O00244,ATOX1,Copper transport protein ATOX1,ATX1 family,6,3247,76%,5467,59%,7791,42%,9916,26%,0,0,0,0,0,0.76
O00253,AGRP,Agouti-related protein,,4,1001,92%,1962,85%,10014,25%,12328,8%,0,0,0,0,0,0.92
O00254,F2RL2,"Proteinase-activated receptor 3, PAR-3", G-protein coupled receptor 1 family.,8,7763,42%,1878,86%,7864,41%,9070,32%,0,0,0,0,0,0.86
O00255,MEN1,Menin,,35,2027,85%,9854,26%,599,96%,110,99%,0,0,0,1,1,0.96
O00257,CBX4,E3 SUMO-protein ligase CBX4,,28,5557,58%,7011,47%,2189,84%,1093,92%,0,0,0,0,0,0.84
O00264,PGRMC1,"Membrane-associated progesterone receptor component 1, mPR", cytochrome b5 family. MAPR subfamily.,6,9514,29%,9231,31%,11054,17%,9018,32%,0,0,0,0,0,0.31
O00267,SUPT5H,"Transcription elongation factor SPT5, hSPT5", SPT5 family.,40,4617,65%,8431,37%,2212,83%,1368,90%,0,0,0,0,0,0.83
O00268,TAF4,Transcription initiation factor TFIID subunit 4, TAF4 family.,22,4592,66%,7946,40%,1276,90%,1362,90%,0,0,0,0,0,0.90
O00273,DFFA,DNA fragmentation factor subunit alpha,,12,1850,86%,1307,90%,3051,77%,2982,78%,0,0,0,0,0,0.90
O00287,RFXAP,"Regulatory factor X-associated protein, RFX-associated protein",,4,10969,18%,10797,19%,10881,18%,8718,35%,0,0,0,0,0,0.19
O00291,HIP1,"Huntingtin-interacting protein 1, HIP-1", SLA2 family.,26,4642,65%,5605,58%,1555,88%,1793,87%,0,0,0,1,1,0.88
O00295,TULP2,Tubby-related protein 2, TUB family.,5,7774,42%,11613,13%,6583,51%,4570,66%,0,0,0,0,0,0.51
O00299,CLIC1,Chloride intracellular channel protein 1, chloride channel CLIC family.,19,1711,87%,2228,83%,5991,55%,5048,62%,0,0,0,0,0,0.87
O00300,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,,7,2012,85%,2614,80%,4137,69%,7010,47%,0,0,0,0,0,0.85
O00303,EIF3F,"Eukaryotic translation initiation factor 3 subunit F, eIF3f", eIF-3 subunit F family.,20,3082,77%,3274,75%,3425,74%,3296,75%,0,0,0,0,0,0.77
O00305,CACNB4,"Voltage-dependent L-type calcium channel subunit beta-4, CAB4", calcium channel beta subunit family.,9,7265,46%,9015,32%,8167,39%,5633,58%,0,0,0,0,0,0.46
O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,,57,3593,73%,4936,63%,1257,91%,1682,87%,0,0,0,0,0,0.91
O00311,CDC7,"Cell division cycle 7-related protein kinase, CDC7-related kinase, HsCdc7, huCdc7", protein kinase superfamily. Ser/Thr protein kinase family. CDC7 subfamily.,28,5100,62%,10449,22%,1892,86%,1511,89%,0,0,0,0,0,0.86
O00321,ETV2,ETS translocation variant 2,ETS family,1,9355,30%,9605,28%,10990,18%,10319,23%,0,0,0,0,0,0.30
O00322,UPK1A,Uroplakin-1a,tetraspanin (TM4SF) family,1,819,94%,195,99%,7074,47%,11549,13%,0,0,0,0,0,0.99
O00327,ARNTL,Aryl hydrocarbon receptor nuclear translocator-like protein 1,,21,3115,77%,7567,43%,1452,89%,706,95%,0,0,0,0,0,0.89
O00329,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform, PI3-kinase subunit delta, PI3K-delta, PI3Kdelta, PtdIns-3-kinase subunit delta", PI3/PI4-kinase family.,14,648,95%,788,94%,1149,91%,2768,79%,0,0,0,0,0,0.95
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial", 2-oxoacid dehydrogenase family.,8,10716,20%,9914,26%,7691,42%,5963,55%,0,0,0,0,0,0.42
O00338,SULT1C2,"Sulfotransferase 1C2, ST1C2", sulfotransferase 1 family.,6,907,93%,783,94%,713,95%,4702,65%,0,0,0,0,0,0.95
O00339,MATN2,Matrilin-2,,18,1216,91%,958,93%,3385,75%,3387,75%,0,0,0,0,0,0.93
O00341,SLC1A7,Excitatory amino acid transporter 5, sodium:dicarboxylate (SDF) symporter (TC 2.A.23) family. SLC1A7 subfamily.,2,2982,78%,2703,80%,6140,54%,10036,25%,0,0,0,0,0,0.80
O00358,FOXE1,Forkhead box protein E1,,1,5853,56%,5391,60%,9048,32%,11885,11%,0,0,0,0,0,0.60
O00391,QSOX1,"Sulfhydryl oxidase 1, hQSOX", quiescin-sulfhydryl oxidase (QSOX) family.,3,10408,22%,7521,44%,8667,35%,6988,48%,0,0,0,0,0,0.44
O00399,DCTN6,Dynactin subunit 6, dynactin subunits 5/6 family. Dynactin subunit 6 subfamily.,4,4289,68%,9279,30%,2457,82%,4277,68%,0,0,0,0,0,0.82
O00401,WASL,"Neural Wiskott-Aldrich syndrome protein, N-WASP",,52,2125,84%,4079,69%,656,95%,1533,89%,0,0,0,0,0,0.95
O00409,FOXN3,Forkhead box protein N3,,3,12946,3%,12605,6%,11308,15%,9037,32%,0,0,0,0,0,0.15
O00410,IPO5,"Importin-5, Imp5", importin beta family.,27,12538,6%,7748,42%,3984,70%,2597,81%,0,0,0,0,0,0.70
O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial, MtRPOL", phage and mitochondrial RNA polymerase family.,2,6605,51%,4392,67%,11020,17%,12090,9%,0,0,0,0,0,0.67
O00418,EEF2K,"Eukaryotic elongation factor 2 kinase, eEF-2 kinase, eEF-2K", protein kinase superfamily. Alpha-type protein kinase family.,20,3027,77%,5330,60%,2064,85%,1950,85%,0,0,0,0,0,0.85
O00422,SAP18,Histone deacetylase complex subunit SAP18, SAP18 family.,14,7321,45%,9010,32%,5347,60%,3079,77%,0,0,0,0,0,0.60
O00423,EML1,"Echinoderm microtubule-associated protein-like 1, EMAP-1, HuEMAP-1", WD repeat EMAP family.,3,1499,89%,2072,84%,6736,50%,11266,16%,0,0,0,0,0,0.89
O00425,IGF2BP3,"Insulin-like growth factor 2 mRNA-binding protein 3, IGF2 mRNA-binding protein 3, IMP-3", RRM IMP/VICKZ family.,3,9785,27%,10293,23%,9128,32%,7316,45%,0,0,0,0,0,0.32
O00429,DNM1L,Dynamin-1-like protein, dynamin family.,17,2625,80%,5953,55%,440,97%,997,93%,0,0,0,0,0,0.97
O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PI3/PI4-kinase family,3,1289,90%,1389,90%,791,94%,3974,70%,0,0,0,0,0,0.94
O00444,PLK4,Serine/threonine-protein kinase PLK4, protein kinase superfamily. Ser/Thr protein kinase family. CDC5/Polo subfamily.,14,2640,80%,6158,54%,2831,79%,2875,78%,0,0,0,0,0,0.80
O00445,SYT5,Synaptotagmin-5, synaptotagmin family.,4,5522,59%,2098,84%,6998,48%,10763,19%,0,0,0,0,0,0.84
O00451,GFRA2,GDNF family receptor alpha-2,GDNFR family,2,2025,85%,2690,80%,6069,55%,10635,20%,0,0,0,0,0,0.85
O00453,LST1,Leukocyte-specific transcript 1 protein, LST1 family.,2,3720,72%,2768,79%,8371,37%,10095,24%,0,0,0,0,0,0.79
O00458,IFRD1,Interferon-related developmental regulator 1, IFRD family.,6,4217,68%,9314,30%,4061,70%,3053,77%,0,0,0,0,0,0.70
O00459,PIK3R2,"Phosphatidylinositol 3-kinase regulatory subunit beta, PI3-kinase regulatory subunit beta, PI3K regulatory subunit beta, PtdIns-3-kinase regulatory subunit beta", PI3K p85 subunit family.,60,437,97%,1874,86%,296,98%,571,96%,0,0,0,0,0,0.98
O00463,TRAF5,TNF receptor-associated factor 5, TNF receptor-associated factor family. A subfamily.,42,3999,70%,5950,55%,1952,85%,2386,82%,0,0,0,0,0,0.85
O00468,AGRN,Agrin,,6,4604,66%,1703,87%,3683,72%,6958,48%,0,0,0,0,0,0.87
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",,1,2536,81%,4865,64%,5662,58%,9885,26%,0,0,0,0,0,0.81
O00470,MEIS1,Homeobox protein Meis1, TALE/MEIS homeobox family.,27,6612,50%,5011,62%,7358,45%,2116,84%,0,0,0,0,0,0.62
O00471,EXOC5,Exocyst complex component 5, SEC1 family.,42,2735,80%,1605,88%,4205,68%,4447,67%,0,0,0,0,0,0.88
O00472,ELL2,RNA polymerase II elongation factor ELL2, ELL/occludin family.,3,12056,10%,11446,14%,10581,21%,9612,28%,0,0,0,0,0,0.21
O00478,BTN3A3,Butyrophilin subfamily 3 member A3, immunoglobulin superfamily. BTN/MOG family.,2,9731,27%,4535,66%,10802,19%,12699,5%,0,0,0,0,0,0.66
O00479,HMGN4,High mobility group nucleosome-binding domain-containing protein 4,HMGN family,4,5071,62%,6641,50%,5554,58%,6534,51%,0,0,0,0,0,0.62
O00481,BTN3A1,Butyrophilin subfamily 3 member A1, immunoglobulin superfamily. BTN/MOG family.,1,4405,67%,2354,82%,9733,27%,12553,6%,0,0,0,0,0,0.82
O00482,NR5A2,Nuclear receptor subfamily 5 group A member 2, nuclear hormone receptor family. NR5 subfamily.,21,3551,73%,5768,57%,1384,90%,402,97%,0,0,0,0,0,0.90
O00483,NDUFA4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4, complex I NDUFA4 subunit family.,3,5617,58%,9796,27%,998,93%,7069,47%,0,0,0,0,0,0.93
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14, peptidase M67A family. PSMD14 subfamily.,9,7153,46%,4813,64%,2896,78%,4640,65%,0,0,0,0,0,0.78
O00488,ZNF593,Zinc finger protein 593, ZNF593/BUD2 C2H2-type zinc-finger protein family.,8,6540,51%,8408,37%,7564,43%,6189,54%,0,0,0,0,0,0.51
O00499,BIN1,Myc box-dependent-interacting protein 1,,43,1433,89%,5092,62%,1173,91%,2148,84%,0,0,0,0,0,0.91
O00501,CLDN5,Claudin-5,claudin family,3,1246,91%,1206,91%,4423,67%,9180,31%,0,0,0,0,0,0.91
O00505,KPNA3,Importin subunit alpha-3, importin alpha family.,27,7584,43%,6075,54%,4159,69%,1765,87%,0,0,0,0,0,0.69
O00506,STK25,Serine/threonine-protein kinase 25, protein kinase superfamily. STE Ser/Thr protein kinase family. STE2 subfamily.,15,6115,54%,10444,22%,3222,76%,3731,72%,0,0,0,0,0,0.76
O00507,USP9Y,Probable ubiquitin carboxyl-terminal hydrolase FAF-Y,peptidase C19 family,2,7043,47%,3450,74%,6731,50%,6521,51%,0,0,0,0,0,0.74
O00512,BCL9,"B-cell CLL/lymphoma 9 protein, B-cell lymphoma 9 protein, Bcl-9", BCL9 family.,3,8330,38%,11795,12%,7226,46%,2261,83%,0,0,0,1,1,0.46
O00515,LAD1,"Ladinin-1, Lad-1",,2,5273,60%,582,96%,10983,18%,6057,55%,0,0,0,0,0,0.96
O00522,KRIT1,"Krev interaction trapped protein 1, Krev interaction trapped 1",,10,6374,52%,6717,50%,6344,52%,5517,59%,0,0,0,0,0,0.52
O00526,UPK2,Uroplakin-2,uroplakin-2 family,2,633,95%,244,98%,8023,40%,11371,15%,0,0,0,0,0,0.98
O00534,VWA5A,von Willebrand factor A domain-containing protein 5A,,1,13069,2%,13080,2%,13074,2%,13157,1%,0,0,0,0,0,0.02
O00541,PES1,Pescadillo homolog, pescadillo family.,1,9436,29%,8280,38%,10558,21%,9318,30%,0,0,0,0,0,0.38
O00548,DLL1,Delta-like protein 1,,11,8133,39%,9648,28%,5556,58%,3199,76%,0,0,0,0,0,0.58
O00555,CACNA1A,Voltage-dependent P/Q-type calcium channel subunit alpha-1A, calcium channel alpha-1 subunit (TC 1.A.1.11) family. CACNA1A subfamily.,91,1932,86%,1540,88%,4209,68%,3170,76%,0,0,0,0,0,0.88
O00559,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,,2,4580,66%,6861,49%,6212,53%,9116,32%,0,0,0,0,0,0.66
O00560,SDCBP,Syntenin-1,,164,13011,3%,5784,57%,1549,88%,1520,89%,0,0,0,0,0,0.88
O00562,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,PtdIns transfer protein family,6,3982,70%,6630,50%,3962,70%,3918,71%,0,0,0,0,0,0.70
O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10, MPP1 family.,5,7339,45%,9313,30%,8251,38%,5926,56%,0,0,0,0,0,0.45
O00567,NOP56,Nucleolar protein 56, NOP5/NOP56 family.,7,6245,53%,8810,34%,5074,62%,2175,84%,0,0,0,0,0,0.62
O00570,SOX1,Transcription factor SOX-1,,1,5729,57%,3867,71%,7236,46%,8870,34%,0,0,0,0,0,0.71
O00571,DDX3X,ATP-dependent RNA helicase DDX3X, DEAD box helicase family. DDX3/DED1 subfamily.,22,6702,50%,8905,33%,2101,84%,1767,87%,0,0,0,0,0,0.84
O00574,CXCR6,C-X-C chemokine receptor type 6,G-protein coupled receptor 1 family,1,11918,11%,5934,56%,12730,5%,12540,6%,0,0,0,0,0,0.56
O00585,CCL21,C-C motif chemokine 21, intercrine beta (chemokine CC) family.,12,2247,83%,2506,81%,7397,45%,7301,45%,0,0,0,0,0,0.83
O00587,MFNG,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",glycosyltransferase 31 family,4,12324,8%,11822,11%,12164,9%,6615,50%,0,0,0,0,0,0.11
O00590,ACKR2,Atypical chemokine receptor 2,G-protein coupled receptor 1 family,16,2977,78%,1655,88%,7452,44%,7310,45%,0,0,0,0,0,0.88
O00592,PODXL,Podocalyxin, podocalyxin family.,2,2559,81%,2847,79%,3970,70%,9454,29%,0,0,0,0,0,0.81
O00602,FCN1,Ficolin-1,ficolin lectin family,2,2050,85%,3711,72%,6259,53%,10474,22%,0,0,0,0,0,0.85
O00622,CYR61,Protein CYR61,CCN family,2,3548,73%,3844,71%,6520,51%,10368,22%,0,0,0,0,0,0.73
O00623,PEX12,Peroxisome assembly protein 12, pex2/pex1/pex12 family.,3,2229,83%,1235,91%,8175,39%,7096,47%,0,0,0,0,0,0.91
O00624,SLC17A2,Sodium-dependent phosphate transport protein 3,Sodium/anion cotransporter family,1,10230,23%,10010,25%,10050,25%,9788,27%,0,0,0,0,0,0.25
O00625,PIR,Pirin, pirin family.,4,6919,48%,8282,38%,8161,39%,6020,55%,0,0,0,0,0,0.48
O00626,CCL22,C-C motif chemokine 22, intercrine beta (chemokine CC) family.,7,1847,86%,2530,81%,4723,65%,8499,36%,0,0,0,0,0,0.86
O00628,PEX7,Peroxisomal targeting signal 2 receptor,WD repeat peroxin-7 family,7,7222,46%,4937,63%,7111,47%,5585,58%,0,0,0,0,0,0.63
O00629,KPNA4,Importin subunit alpha-4, importin alpha family.,19,6759,49%,10351,22%,2620,80%,1500,89%,0,0,0,0,0,0.80
O00631,SLN,Sarcolipin,sarcolipin family,6,9004,33%,1641,88%,9204,31%,7409,44%,0,0,0,0,0,0.88
O00634,NTN3,Netrin-3,,1,8305,38%,7886,41%,8855,34%,12075,10%,0,0,0,0,0,0.41
O00635,TRIM38,Tripartite motif-containing protein 38,,21,4585,66%,5364,60%,2078,84%,2887,78%,0,0,0,0,0,0.84
O00712,NFIB,Nuclear factor 1 B-type,CTF/NF-I family,3,7269,46%,6529,51%,11434,14%,9100,32%,0,0,0,1,1,0.51
O00716,E2F3,"Transcription factor E2F3, E2F-3", E2F/DP family.,25,4497,66%,7367,45%,2009,85%,435,97%,0,0,0,0,0,0.85
O00743,PPP6C,"Serine/threonine-protein phosphatase 6 catalytic subunit, PP6C", PPP phosphatase family. PP-6 (PP-V) subfamily.,6,6250,53%,6413,52%,7728,42%,4841,64%,0,0,0,1,1,0.53
O00746,NME4,"Nucleoside diphosphate kinase, mitochondrial, NDK, NDP kinase, mitochondrial", NDK family.,6,7264,46%,9346,30%,6007,55%,7475,44%,0,0,0,0,0,0.55
O00750,PIK3C2B,"Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta, PI3K-C2-beta, PtdIns-3-kinase C2 subunit beta", PI3/PI4-kinase family.,10,521,96%,828,94%,388,97%,1468,89%,0,0,0,0,0,0.97
O00754,MAN2B1,Lysosomal alpha-mannosidase,glycosyl hydrolase 38 family,2,9571,28%,11293,15%,11176,16%,8042,40%,0,0,0,0,0,0.28
O00755,WNT7A,Protein Wnt-7a, Wnt family.,4,10785,19%,8778,34%,11529,14%,11129,17%,0,0,0,0,0,0.34
O00757,FBP2,"Fructose-1,6-bisphosphatase isozyme 2, FBPase 2", FBPase class 1 family.,2,5586,58%,9529,29%,7921,41%,10330,23%,0,0,0,0,0,0.58
O00762,UBE2C,Ubiquitin-conjugating enzyme E2 C, ubiquitin-conjugating enzyme family.,35,2989,78%,5715,57%,1336,90%,1759,87%,0,0,0,0,0,0.90
O00763,ACACB,Acetyl-CoA carboxylase 2,,3,9983,25%,11694,12%,10436,22%,9974,25%,0,0,0,0,0,0.25
O00764,PDXK,Pyridoxal kinase, pyridoxine kinase family.,2,4509,66%,3606,73%,7706,42%,7356,45%,0,0,0,0,0,0.73
O00767,SCD,Acyl-CoA desaturase, fatty acid desaturase family.,3,6991,48%,1099,92%,7006,48%,8884,33%,0,0,0,0,0,0.92
O14490,DLGAP1,"Disks large-associated protein 1, DAP-1", SAPAP family.,21,1098,92%,519,96%,3231,76%,3072,77%,0,0,0,0,0,0.96
O14492,SH2B2,SH2B adapter protein 2, SH2B adapter family.,22,155,99%,485,96%,178,99%,422,97%,0,0,0,0,0,0.99
O14493,CLDN4,Claudin-4,claudin family,5,2292,83%,1791,87%,4730,65%,6211,53%,0,0,0,0,0,0.87
O14494,PPAP2A,Lipid phosphate phosphohydrolase 1, PA-phosphatase related phosphoesterase family.,2,2704,80%,2699,80%,8061,40%,11436,14%,0,0,0,0,0,0.80
O14495,PPAP2B,Lipid phosphate phosphohydrolase 3,PA-phosphatase related phosphoesterase family,3,3184,76%,5464,59%,1845,86%,5679,57%,0,0,0,0,0,0.86
O14497,ARID1A,"AT-rich interactive domain-containing protein 1A, ARID domain-containing protein 1A",,13,4334,68%,8622,35%,2208,83%,229,98%,0,0,0,1,1,0.83
O14503,BHLHE40,"Class E basic helix-loop-helix protein 40, bHLHe40",,45,9028,32%,8129,39%,2640,80%,2161,84%,0,0,0,0,0,0.80
O14508,SOCS2,"Suppressor of cytokine signaling 2, SOCS-2",,18,739,94%,1448,89%,405,97%,1463,89%,0,0,0,0,0,0.97
O14511,NRG2,"Pro-neuregulin-2, membrane-bound isoform",neuregulin family,2,3857,71%,4825,64%,2920,78%,7810,41%,0,0,0,0,0,0.78
O14512,SOCS7,"Suppressor of cytokine signaling 7, SOCS-7",,13,782,94%,2839,79%,497,96%,1492,89%,0,0,0,0,0,0.96
O14513,NCKAP5,"Nck-associated protein 5, NAP-5",,3,3273,75%,4022,70%,6049,55%,8079,39%,0,0,0,0,0,0.75
O14514,BAI1,Brain-specific angiogenesis inhibitor 1, G-protein coupled receptor 2 family. LN-TM7 subfamily.,16,628,95%,501,96%,4428,67%,5537,59%,0,0,0,0,0,0.96
O14519,CDK2AP1,"Cyclin-dependent kinase 2-associated protein 1, CDK2-associated protein 1", CDK2AP family.,7,8656,35%,8627,35%,6591,51%,3531,74%,0,0,0,0,0,0.51
O14522,PTPRT,"Receptor-type tyrosine-protein phosphatase T, R-PTP-T", protein-tyrosine phosphatase family. Receptor class 2B subfamily.,2,2858,79%,2581,81%,2588,81%,7186,46%,0,0,0,0,0,0.81
O14523,C2CD2L,C2 domain-containing protein 2-like,,1,5184,61%,3349,75%,7167,46%,10846,19%,0,0,0,0,0,0.75
O14526,FCHO1,FCH domain only protein 1,,7,12722,5%,11608,13%,6968,48%,5678,57%,0,0,0,0,0,0.48
O14529,CUX2,Homeobox protein cut-like 2,CUT homeobox family,1,11259,16%,10595,21%,9896,26%,6639,50%,0,0,0,0,0,0.26
O14530,TXNDC9,Thioredoxin domain-containing protein 9,,20,7305,45%,8298,38%,5793,57%,4299,68%,0,0,0,0,0,0.57
O14531,DPYSL4,"Dihydropyrimidinase-related protein 4, DRP-4", DHOase family. Hydantoinase/dihydropyrimidinase subfamily.,8,2263,83%,2193,84%,4156,69%,4619,65%,0,0,0,0,0,0.84
O14543,SOCS3,"Suppressor of cytokine signaling 3, SOCS-3",,56,389,97%,2566,81%,168,99%,553,96%,0,0,0,0,0,0.99
O14544,SOCS6,"Suppressor of cytokine signaling 6, SOCS-6",,26,840,94%,1385,90%,345,97%,659,95%,0,0,0,0,0,0.97
O14545,TRAFD1,TRAF-type zinc finger domain-containing protein 1,,4,5301,60%,4593,66%,5953,55%,5246,61%,0,0,0,0,0,0.66
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial", cytochrome c oxidase VIIa family.,1,12142,9%,12859,4%,12461,7%,12362,7%,0,0,0,0,0,0.09
O14556,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific", glyceraldehyde-3-phosphate dehydrogenase family.,2,9224,31%,4645,65%,10316,23%,10402,22%,0,0,0,0,0,0.65
O14558,HSPB6,"Heat shock protein beta-6, HspB6", small heat shock protein (HSP2) family.,4,2919,78%,1757,87%,5075,62%,5906,56%,0,0,0,0,0,0.87
O14559,ARHGAP33,Rho GTPase-activating protein 33, PX domain-containing GAP family.,3,2929,78%,2982,78%,4773,64%,6367,52%,0,0,0,0,0,0.78
O14561,NDUFAB1,"Acyl carrier protein, mitochondrial, ACP",,4,11161,16%,8076,39%,11819,11%,11736,12%,0,0,0,0,0,0.39
O14562,UBFD1,Ubiquitin domain-containing protein UBFD1,,1,10231,23%,10011,25%,10051,25%,9789,27%,0,0,0,0,0,0.25
O14569,CYB561D2,Cytochrome b561 domain-containing protein 2,,3,11885,11%,12934,3%,10658,20%,8178,39%,0,0,0,0,0,0.20
O14576,DYNC1I1,Cytoplasmic dynein 1 intermediate chain 1, dynein intermediate chain family.,30,4875,63%,3215,76%,4211,68%,3243,76%,0,0,0,0,0,0.76
O14578,CIT,"Citron Rho-interacting kinase, CRIK", protein kinase superfamily. AGC Ser/Thr protein kinase family.,12,3094,77%,3775,72%,4614,65%,4717,65%,0,0,0,0,0,0.77
O14579,COPE,Coatomer subunit epsilon, COPE family.,9,1825,86%,1200,91%,6469,52%,6722,50%,0,0,0,0,0,0.91
O14593,RFXANK,DNA-binding protein RFXANK,,9,8668,35%,8581,36%,8101,39%,3231,76%,0,0,0,0,0,0.39
O14594,NCAN,Neurocan core protein,aggrecan/versican proteoglycan family,7,1839,86%,3612,73%,3828,71%,6864,49%,0,0,0,0,0,0.86
O14595,CTDSP2,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2,,4,6939,48%,10177,24%,6204,54%,3005,77%,0,0,0,0,0,0.54
O14598,"VCY,VCY1B",Testis-specific basic protein Y 1,VCX/VCY family,1,13070,2%,13081,2%,13075,2%,13306,0%,0,0,0,0,0,0.02
O14599,BPY2,Testis-specific basic protein Y 2, VCX/VCY family.,2,12745,4%,3477,74%,10737,20%,10153,24%,0,0,0,0,0,0.74
O14602,EIF1AY,"Eukaryotic translation initiation factor 1A, Y-chromosomal, eIF-1A Y isoform", eIF-1A family.,4,8928,33%,11247,16%,9571,28%,7480,44%,0,0,0,0,0,0.33
O14604,TMSB4Y,"Thymosin beta-4, Y-chromosomal", thymosin beta family.,6,3914,71%,3551,73%,4638,65%,5041,62%,0,0,0,0,0,0.73
O14607,UTY,Histone demethylase UTY, UTX family.,3,6349,52%,12357,7%,7413,44%,6907,48%,0,0,0,0,0,0.52
O14609,XKRY,"Testis-specific XK-related protein, Y-linked",XK family,1,11260,16%,10596,21%,9897,26%,6685,50%,0,0,0,0,0,0.26
O14610,GNGT2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,G protein gamma family,4,937,93%,564,96%,9031,32%,8639,35%,0,0,0,0,0,0.96
O14613,CDC42EP2,Cdc42 effector protein 2, BORG/CEP family.,7,3496,74%,1654,88%,4901,63%,1237,91%,0,0,0,0,0,0.88
O14617,AP3D1,AP-3 complex subunit delta-1, adaptor complexes large subunit family.,11,3875,71%,3235,76%,2520,81%,4708,65%,0,0,0,0,0,0.81
O14618,CCS,Copper chaperone for superoxide dismutase,,4,933,93%,1023,92%,4186,69%,7125,47%,0,0,0,0,0,0.93
O14625,CXCL11,C-X-C motif chemokine 11, intercrine alpha (chemokine CxC) family.,6,2359,82%,1719,87%,7526,44%,8729,35%,0,0,0,0,0,0.87
O14627,CDX4,Homeobox protein CDX-4,Caudal homeobox family,6,10807,19%,9651,28%,9249,31%,8355,37%,0,0,0,0,0,0.31
O14628,ZNF195,Zinc finger protein 195,krueppel C2H2-type zinc-finger protein family,1,10880,18%,11548,13%,11651,13%,9377,30%,0,0,0,0,0,0.18
O14639,ABLIM1,"Actin-binding LIM protein 1, abLIM-1",,17,12384,7%,10666,20%,4983,63%,4271,68%,0,0,0,0,0,0.63
O14640,DVL1,"Segment polarity protein dishevelled homolog DVL-1, Dishevelled-1", DSH family.,40,3643,73%,6441,52%,937,93%,1357,90%,0,0,0,0,0,0.93
O14641,DVL2,"Segment polarity protein dishevelled homolog DVL-2, Dishevelled-2", DSH family.,70,6265,53%,5949,55%,390,97%,1007,92%,0,0,0,0,0,0.97
O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1, inner dynein arm light chain family.,6,6661,50%,9722,27%,2115,84%,6379,52%,0,0,0,0,0,0.84
O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1,SNF2/RAD54 helicase family,11,5029,62%,7836,41%,4101,69%,1896,86%,0,0,0,0,0,0.69
O14647,CHD2,"Chromodomain-helicase-DNA-binding protein 2, CHD-2", SNF2/RAD54 helicase family.,7,11382,15%,11062,17%,7578,43%,6323,53%,0,0,0,0,0,0.43
O14649,KCNK3,Potassium channel subfamily K member 3, two pore domain potassium channel (TC 1.A.1.8) family.,11,1687,87%,1625,88%,2433,82%,3065,77%,0,0,0,0,0,0.88
O14653,GOSR2,Golgi SNAP receptor complex member 2,GOSR2 family,9,6691,50%,5359,60%,7603,43%,6545,51%,0,0,0,0,0,0.60
O14654,IRS4,"Insulin receptor substrate 4, IRS-4",,29,249,98%,300,98%,462,97%,867,94%,0,0,0,0,0,0.98
O14656,TOR1A,Torsin-1A, clpA/clpB family. Torsin subfamily.,7,2649,80%,7216,46%,3686,72%,6158,54%,0,0,0,0,0,0.80
O14657,TOR1B,Torsin-1B, clpA/clpB family. Torsin subfamily.,2,6290,53%,6375,52%,9856,26%,10299,23%,0,0,0,0,0,0.53
O14662,STX16,"Syntaxin-16, Syn16", syntaxin family.,10,2155,84%,1422,89%,9495,29%,7458,44%,0,0,0,0,0,0.89
O14668,PRRG1,Transmembrane gamma-carboxyglutamic acid protein 1,,3,8798,34%,8229,38%,1655,88%,8075,39%,0,0,0,0,0,0.88
O14669,PRRG2,Transmembrane gamma-carboxyglutamic acid protein 2,,3,11722,12%,5839,56%,10474,22%,9768,27%,0,0,0,0,0,0.56
O14672,ADAM10,"Disintegrin and metalloproteinase domain-containing protein 10, ADAM 10",,8,53,100%,697,95%,78,99%,309,98%,0,0,0,0,0,1.00
O14678,ABCD4,ATP-binding cassette sub-family D member 4, ABC transporter superfamily. ABCD family. Peroxisomal fatty acyl CoA transporter (TC 3.A.1.23) subfamily.,4,7749,42%,7422,44%,9957,25%,8949,33%,0,0,0,0,0,0.44
